"#","Reference","Qty","Value","Footprint","DNP"
"1","B1","1","BATTERYCR1220_SMT","Adafruit:BAT_CR-1220_FCN",""
"2","B2","1","BATTERY","Adafruit DS3231 RTC Breakout:JSTPH2",""
"3","D1, D2, D3, D4, D9, D10, D11, D12, D13, D14, D15, D16","12","LED_Small","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",""
"4","D5","1","GREEN","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",""
"5","D6","1","BLUE","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",""
"6","MS1","1","FEATHERWING","AndriaSalas_LobsterHeartBeat:MODULE_FEATHER_M0_BASIC_PROTO",""
"7","R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R17","13","330R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"8","R13","1","2K2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"9","R14","1","10K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"10","R16, R18","2","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"11","U2","1","DRV5033AJxLPG","Package_TO_SOT_THT:TO-92_Inline",""
"12","U3","1","DS3231","Package_SO:SO-16_5.3x10.2mm_P1.27mm",""
